#Freeway,Station,Lanetype,Absolute_Postmile,Lanes,Direction,District,Name,California_Postmile,Latitude,Longitude
SR170-S,717610,ML,3.686,4,d,7,OXNARD,R16.6,34.178734,-118.394967
I605-S,766525,HOV,3.722,1,d,7,CARSON 1,R1.67,33.830177,-118.08363
I605-S,717833,ML,3.722,4,d,7,CARSON 1,R1.67,33.830177,-118.08363
I605-N,766508,HOV,3.732,1,a,7,CARSON EB,R1.68,33.830383,-118.083453
I605-N,717836,ML,3.732,4,a,7,CARSON EB,R1.68,33.830383,-118.083453
SR134-W,761027,HOV,3.75,1,d,7,FOREST LAWN,3.75,34.154816,-118.311893
SR134-W,718499,ML,3.75,4,d,7,FOREST LAWN,3.75,34.154816,-118.311893
SR57-S,1213119,HOV,3.751,1,d,12,South,14.4,33.832386,-117.876232
SR57-S,1213121,ML,3.751,5,d,12,South,14.4,33.832386,-117.876232
I405-N,1201209,HOV,3.8,1,a,12,JEFFREY 2,4.03,33.663798,-117.796176
I405-S,1209047,HOV,3.8,1,d,12,JEFFREY 2,4.03,33.663404,-117.796283
I405-N,1201211,ML,3.8,4,a,12,JEFFREY 2,4.03,33.663798,-117.796176
I405-S,1201197,ML,3.8,4,d,12,JEFFREY 2,4.03,33.663404,-117.796283
SR134-E,763323,HOV,3.88,1,a,7,FOREST LAWN,3.88,34.155121,-118.309741
SR134-E,761003,ML,3.88,4,a,7,FOREST LAWN,3.88,34.155121,-118.309741
I605-N,766510,HOV,3.902,1,a,7,CARSON 2,R1.85,33.832657,-118.084601
I605-S,766528,HOV,3.902,1,d,7,CARSON 2,R1.85,33.832579,-118.084831
I605-N,717839,ML,3.902,4,a,7,CARSON 2,R1.85,33.832657,-118.084601
I605-S,717838,ML,3.902,4,d,7,CARSON 2,R1.85,33.832579,-118.084831
SR22-E,1215078,HOV,3.947,1,a,12,KNOTT 1,R2.49,33.774494,-118.010537
SR22-W,1215077,HOV,3.947,1,d,12,KNOTT 1,R2.49,33.774652,-118.010501
SR22-E,1202614,ML,3.947,3,a,12,KNOTT 1,R2.49,33.774494,-118.010537
SR22-W,1202610,ML,3.947,3,d,12,KNOTT 1,R2.49,33.774652,-118.010501
SR57-N,1202199,HOV,3.966,1,a,12,LINCOLN 1,14.7,33.836695,-117.875951
SR57-N,1202201,ML,3.996,4,a,12,LINCOLN 1,14.73,33.837126,-117.87595
I105-W,760432,HOV,4,1,d,7,118TH,R4,33.926558,-118.338643
I105-W,716413,ML,4,4,d,7,118TH,R4,33.926558,-118.338643
SR57-S,1202184,HOV,4.001,1,d,12,LINCOLN 1,14.65,33.835983,-117.876191
SR57-S,1202186,ML,4.001,5,d,12,LINCOLN 1,14.65,33.835983,-117.876191
SR91-E,717385,HOV,4.128,1,a,7,ALAMEDA,R10.13,33.873494,-118.219285
SR91-E,717383,ML,4.128,4,a,7,ALAMEDA,R10.13,33.873494,-118.219285
SR57-N,1202228,HOV,4.166,1,a,12,LINCOLN 2,14.9,33.839593,-117.875935
SR57-N,1202230,ML,4.166,5,a,12,LINCOLN 2,14.9,33.839593,-117.875935
SR22-E,1215090,HOV,4.167,1,a,12,GARDEN GROV,R2.71,33.774003,-118.006807
SR22-W,1215089,HOV,4.167,1,d,12,GARDEN GROV,R2.71,33.774166,-118.006721
SR22-E,1215092,ML,4.167,3,a,12,GARDEN GROV,R2.71,33.774003,-118.006807
SR22-W,1215091,ML,4.167,3,d,12,GARDEN GROV,R2.71,33.774166,-118.006721
SR57-S,1202213,HOV,4.181,1,d,12,LINCOLN 2,14.83,33.838577,-117.876186
SR57-S,1202215,ML,4.181,5,d,12,LINCOLN 2,14.83,33.838577,-117.876186
I105-E,760090,HOV,4.2,1,a,7,YUKON,R4.2,33.924911,-118.335537
I105-E,716414,ML,4.2,4,a,7,YUKON,R4.2,33.924911,-118.335537
SR170-N,765612,HOV,4.246,1,a,7,VICTORY 1,R17.16,34.185311,-118.400538
SR170-S,761066,HOV,4.246,1,d,7,VICTORY 1,R17.16,34.185249,-118.400787
SR170-N,764115,ML,4.246,4,a,7,VICTORY 1,R17.16,34.185311,-118.400538
SR170-S,717612,ML,4.246,4,d,7,VICTORY 1,R17.16,34.185249,-118.400787
I605-N,766512,HOV,4.332,1,a,7,CENTRALIA,R2.28,33.838278,-118.087885
I605-S,766530,HOV,4.332,1,d,7,CENTRALIA,R2.28,33.838214,-118.088062
I605-N,716760,ML,4.332,4,a,7,CENTRALIA,R2.28,33.838278,-118.087885
I605-S,717842,ML,4.332,4,d,7,CENTRALIA,R2.28,33.838214,-118.088062
SR22-E,1215096,HOV,4.337,1,a,12,KNOTT 2,R2.88,33.772807,-118.004149
SR22-W,1215097,HOV,4.337,1,d,12,KNOTT 2,R2.88,33.772939,-118.004084
SR22-E,1202627,ML,4.337,3,a,12,KNOTT 2,R2.88,33.772807,-118.004149
SR22-W,1202631,ML,4.337,3,d,12,KNOTT 2,R2.88,33.772939,-118.004084
SR57-N,1213131,HOV,4.366,1,a,12,UNDERHILL,15.1,33.842505,-117.875902
SR57-N,1213036,ML,4.366,5,a,12,UNDERHILL,15.1,33.842505,-117.875902
SR170-S,761076,HOV,4.386,1,d,7,VICTORY 2,R17.3,34.187159,-118.401618
SR170-S,761070,ML,4.386,4,d,7,VICTORY 2,R17.3,34.187159,-118.401618
SR57-S,1213132,HOV,4.451,1,d,12,UNDERHILL,15.1,33.842489,-117.876207
SR57-S,1213133,ML,4.451,6,d,12,UNDERHILL,15.1,33.842489,-117.876207
SR91-E,763602,HOV,4.478,1,a,7,SANTA FE,R10.48,33.873361,-118.213213
SR91-E,717387,ML,4.478,4,a,7,SANTA FE,R10.48,33.873361,-118.213213
I105-W,760442,HOV,4.5,1,d,7,CRENSHAW 1,R4.5,33.925127,-118.330354
I105-W,760440,ML,4.5,4,d,7,CRENSHAW 1,R4.5,33.925127,-118.330354
I105-E,760100,HOV,4.6,1,a,7,CRENSHAW 1,R4.6,33.924855,-118.32862
I105-E,760101,ML,4.6,3,a,7,CRENSHAW 1,R4.6,33.924855,-118.32862
SR57-N,1213754,HOV,4.666,1,a,12,LA PALMA,15.4,33.846873,-117.875931
SR57-N,1213041,ML,4.666,3,a,12,LA PALMA,15.4,33.846873,-117.875931
SR134-E,761033,HOV,4.69,1,a,7,RIVERSIDE,4.69,34.155439,-118.295974
SR134-W,761031,HOV,4.69,1,d,7,RIVERSIDE,4.69,34.15564,-118.29597
SR134-E,718204,ML,4.69,4,a,7,RIVERSIDE,4.69,34.155439,-118.295974
SR134-W,717576,ML,4.69,4,d,7,RIVERSIDE,4.69,34.15564,-118.29597
SR57-S,1213755,HOV,4.751,1,d,12,LA PALMA,15.4,33.846832,-117.876202
SR57-S,1213721,ML,4.751,4,d,12,LA PALMA,15.4,33.846832,-117.876202
SR14-S,764295,HOV,4.752,1,d,7,GOLDEN VALLEY,R29.54,34.391522,-118.474877
SR14-S,764297,ML,4.752,3,d,7,GOLDEN VALLEY,R29.54,34.391522,-118.474877
I405-N,1201229,HOV,4.78,1,a,12,YALE,5.01,33.666407,-117.812902
I405-S,1201227,HOV,4.78,1,d,12,YALE,5.01,33.666093,-117.81298
I405-N,1201222,ML,4.78,4,a,12,YALE,5.01,33.666407,-117.812902
I405-S,1201217,ML,4.78,4,d,12,YALE,5.01,33.666093,-117.81298
I105-W,760454,HOV,4.8,1,d,7,CRENSHAW 2,R4.8,33.925436,-118.325192
SR134-E,773907,HOV,4.8,1,a,7,W/O RIVERSIDE,4.8,34.155227,-118.294082
SR134-W,773908,HOV,4.8,1,d,7,W/O RIVERSIDE,4.8,34.155435,-118.294082
I105-W,760452,ML,4.8,3,d,7,CRENSHAW 2,R4.8,33.925436,-118.325192
SR134-E,773904,ML,4.8,4,a,7,W/O RIVERSIDE,4.8,34.155227,-118.294082
SR134-W,773906,ML,4.8,4,d,7,W/O RIVERSIDE,4.8,34.155435,-118.294082
I405-N,1209075,HOV,4.82,1,a,12,SPRUCE,5.05,33.66659,-117.813561
I405-S,1209068,HOV,4.82,1,d,12,SPRUCE,5.05,33.666292,-117.813632
I405-N,1209076,ML,4.82,4,a,12,SPRUCE,5.05,33.66659,-117.813561
I405-S,1209070,ML,4.82,4,d,12,SPRUCE,5.05,33.666292,-117.813632
I605-N,766514,HOV,4.842,1,a,7,DEL AMO 1,R2.79,33.844957,-118.091715
I605-S,766532,HOV,4.842,1,d,7,DEL AMA 1,R2.79,33.844875,-118.091947
I605-N,717143,ML,4.842,4,a,7,DEL AMO 1,R2.79,33.844957,-118.091715
I605-S,717843,ML,4.842,4,d,7,DEL AMO 1,R2.79,33.844875,-118.091947
SR22-E,1214763,HOV,4.897,1,a,12,BEACH 1,R3.44,33.771171,-117.994688
SR22-E,1202648,ML,4.897,3,a,12,BEACH 1,R3.44,33.771171,-117.994688
I105-E,760110,HOV,4.9,1,a,7,CRENSHAW 2,R4.9,33.925162,-118.323479
I105-E,760112,ML,4.9,4,a,7,CRENSHAW 2,R4.9,33.925162,-118.323479
SR22-W,1214816,HOV,4.907,1,d,12,BEACH 1,R3.45,33.771348,-117.994525
SR22-W,1202663,ML,4.907,3,d,12,BEACH 1,R3.45,33.771348,-117.994525
SR57-N,1213709,HOV,4.966,1,a,12,N of 91,15.7,33.851227,-117.875572
SR57-N,1213672,ML,4.966,3,a,12,N of 91,15.7,33.851227,-117.875572
I605-N,766516,HOV,4.982,1,a,7,DEL AMO 2,R2.93,33.84679,-118.092752
I605-S,766534,HOV,4.982,1,d,7,DEL AMO 2,R2.93,33.846711,-118.092994
I605-N,717844,ML,4.982,4,a,7,DEL AMO 2,R2.93,33.84679,-118.092752
I605-S,717846,ML,4.982,4,d,7,DEL AMO 2,R2.93,33.846711,-118.092994
SR134-E,773955,HOV,5,1,a,7,W/O VICTORY,5,34.155081,-118.290573
SR134-W,773956,HOV,5,1,d,7,W/O VICTORY,5,34.155428,-118.29055
SR134-E,773953,ML,5,4,a,7,W/O VICTORY,5,34.155081,-118.290573
SR134-W,773954,ML,5,4,d,7,W/O VICTORY,5,34.155428,-118.29055
SR91-E,759965,HOV,5.028,1,a,7,LONG BEACH 1,R11.03,33.872655,-118.203751
SR91-E,717390,ML,5.028,5,a,7,LONG BEACH 1,R11.03,33.872655,-118.203751
SR57-S,1213710,HOV,5.051,1,d,12,N of 91,15.7,33.851167,-117.875855
SR57-S,1213673,ML,5.051,4,d,12,N of 91,15.7,33.851167,-117.875855
SR22-E,1214821,HOV,5.187,1,a,12,BEACH 2,R3.73,33.770894,-117.989845
SR22-W,1214811,HOV,5.187,1,d,12,BEACH 2,R3.73,33.771057,-117.989817
SR22-E,1202691,ML,5.187,3,a,12,BEACH 2,R3.73,33.770894,-117.989845
SR22-W,1202676,ML,5.187,3,d,12,BEACH 2,R3.73,33.771057,-117.989817
SR14-N,764302,HOV,5.192,1,a,7,GOLDEN VALLEY,R29.98,34.394808,-118.468198
SR14-N,764304,ML,5.192,3,a,7,GOLDEN VALLEY,R29.98,34.394808,-118.468198
I405-S,1201238,HOV,5.27,1,d,12,CULVER 1,5.5,33.668738,-117.820882
I405-S,1201240,ML,5.27,4,d,12,CULVER 1,5.5,33.668738,-117.820882
SR170-N,765614,HOV,5.276,1,a,7,SHERMAN WAY,R18.19,34.200041,-118.403183
SR170-S,761079,HOV,5.276,1,d,7,SHERMAN WAY,R18.19,34.19999,-118.403413
SR170-N,764120,ML,5.276,4,a,7,SHERMAN WAY,R18.19,34.200041,-118.403183
